# /anaconda3/bin/barnaba RMSD --ref center_SL3_00.pdb --pdb center_SL3_00.pdb center_SL3_01.pdb center_SL3_02.pdb center_SL3_03.pdb center_SL3_04.pdb center_SL3_05.pdb center_SL3_06.pdb center_SL3_07.pdb center_SL3_08.pdb center_SL3_09.pdb center_SL3_10.pdb --dump --heavy-atom -o SL3 
#     Frame         RMSD
          0   1.8672e-08 
          1   4.0679e-01 
          2   4.9335e-01 
          3   3.9478e-01 
          4   2.4858e-01 
          5   3.0666e-01 
          6   3.0368e-01 
          7   3.8711e-01 
          8   4.0250e-01 
          9   1.8601e-01 
         10   3.7332e-01 
